prefecture,city,event_name,venue,category,start_date,end_date,expected_visitors,ticket_price,influence_radius_km
"広島県","広島市中区","広島フラワーフェスティバル","平和大通り","祭り","2025-05-03","2025-05-05",1600000,0,5.0
"広島県","廿日市市","宮島水中花火大会","宮島町","祭り","2025-08-14","2025-08-14",300000,0,3.0
"広島県","広島市南区","広島東洋カープ vs 阪神タイガース","マツダスタジアム","スポーツ","2025-07-15","2025-07-15",32000,3500,2.0
"広島県","広島市中区","広島交響楽団定期演奏会","文化交流会館","コンサート","2025-06-20","2025-06-20",1800,4000,1.5
"広島県","尾道市","瀬戸内国際芸術祭","向島","展示","2025-04-26","2025-11-04",50000,1800,4.0
"広島県","広島市中区","ひろしま朝市","中央公園","マーケット","2025-01-11","2025-01-11",5000,0,1.0
"広島県","福山市","福山ばら祭り","緑町公園","祭り","2025-05-18","2025-05-19",850000,0,3.0
"広島県","呉市","呉海自カレーフェスタ","大和ミュージアム","イベント","2025-10-12","2025-10-13",30000,0,2.0
"東京都","千代田区","東京マラソン","東京駅前","スポーツ","2025-03-02","2025-03-02",38000,15000,10.0
"東京都","台東区","隅田川花火大会","隅田川","祭り","2025-07-27","2025-07-27",950000,0,5.0
"東京都","渋谷区","SUMMER SONIC TOKYO","幕張メッセ","コンサート","2025-08-17","2025-08-18",120000,13000,8.0
"東京都","江東区","コミックマーケット","東京ビッグサイト","展示","2025-08-09","2025-08-11",600000,0,5.0
"東京都","千代田区","神田祭","神田明神","祭り","2025-05-11","2025-05-17",300000,0,3.0
"東京都","港区","六本木アートナイト","六本木ヒルズ","展示","2025-10-25","2025-10-26",850000,0,2.0
"東京都","新宿区","新宿エイサーまつり","新宿駅周辺","祭り","2025-07-27","2025-07-27",1200000,0,3.0
"大阪府","大阪市中央区","天神祭","大阪天満宮","祭り","2025-07-24","2025-07-25",1300000,0,5.0
"大阪府","大阪市中央区","大阪城イルミナージュ","大阪城公園","イベント","2025-12-01","2026-02-28",500000,1500,3.0
"大阪府","大阪市北区","OSAKA光のルネサンス","中之島公園","イベント","2025-12-14","2025-12-25",350000,0,2.0
"大阪府","大阪市住之江区","サマーソニック大阪","舞洲SONIC PARK","コンサート","2025-08-16","2025-08-18",80000,13000,5.0
"大阪府","大阪市浪速区","今宮戎神社十日戎","今宮戎神社","祭り","2025-01-09","2025-01-11",1000000,0,3.0
"大阪府","岸和田市","岸和田だんじり祭","岸和田市内","祭り","2025-09-14","2025-09-15",500000,0,4.0
"福岡県","福岡市博多区","博多どんたく","博多駅前広場","祭り","2025-05-03","2025-05-04",2000000,0,5.0
"福岡県","福岡市博多区","博多祇園山笠","櫛田神社","祭り","2025-07-01","2025-07-15",3000000,0,4.0
"福岡県","福岡市中央区","福岡アジアンパーティ","市内各所","イベント","2025-09-01","2025-09-30",150000,0,3.0
"福岡県","太宰府市","太宰府天満宮梅花祭","太宰府天満宮","祭り","2025-02-25","2025-02-25",50000,0,2.0
"福岡県","北九州市","小倉祇園太鼓","小倉城","祭り","2025-07-19","2025-07-21",350000,0,3.0
